key,te,ta
1,9986000000,9986000000.0
1,9556000000,9556000000.0
1,7445000000,7445000000.0
1,8902000000,8902000000.0
1,10485000000,10485000000.0
1,8316000000,8316000000.0
1,10351000000,10351000000.0
1,9644000000,9644000000.0
2,7646000000,7646000000.0
2,7913000000,7913000000.0
2,8970000000,8970000000.0
2,11182000000,11182000000.0
2,9053000000,9053000000.0
2,10873000000,10873000000.0
1,7703000000,7703000000.0
1,9686000000,9686000000.0
1,11096000000,11096000000.0
1,8619000000,8619000000.0
2,10485000000,10485000000.0
1,7449000000,7449000000.0
1,9228000000,9228000000.0
1,10259000000,10259000000.0
2,7841000000,7841000000.0
2,9580000000,9580000000.0
2,7796000000,7796000000.0
2,8137000000,8137000000.0
1,8001000000,8001000000.0
1,10213000000,10213000000.0
1,8716000000,8716000000.0
2,8676000000,8676000000.0
1,7892000000,7892000000.0
1,9905000000,9905000000.0
1,8087000000,8087000000.0
1,9001000000,9001000000.0
1,9894000000,9894000000.0
2,8259000000,8259000000.0
2,10397000000,10397000000.0
1,7850000000,7850000000.0
1,7500000000,7500000000.0
1,8795000000,8795000000.0
1,10715000000,10715000000.0
2,8056000000,8056000000.0
2,9332000000,9332000000.0
1,8012000000,8012000000.0
1,7858000000,7858000000.0
1,9052000000,9052000000.0
1,8464000000,8464000000.0
1,9972000000,9972000000.0
1,7419000000,7419000000.0
1,7827000000,7827000000.0
1,8674000000,8674000000.0
1,9971000000,9971000000.0
1,10756000000,10756000000.0
1,9852000000,9852000000.0
1,8248000000,8248000000.0
1,8436000000,8436000000.0
1,10238000000,10238000000.0
1,8633000000,8633000000.0
1,10148000000,10148000000.0
1,11189000000,11189000000.0
2,7873000000,7873000000.0
2,10462000000,10462000000.0
1,9346000000,9346000000.0
1,7892000000,7892000000.0
2,7353000000,7353000000.0
2,8649000000,8649000000.0
1,8519000000,8519000000.0
1,9222000000,9222000000.0
1,10004000000,10004000000.0
1,7977000000,7977000000.0
1,9781000000,9781000000.0
1,7929000000,7929000000.0
1,8617000000,8617000000.0
1,9230000000,9230000000.0
1,10129000000,10129000000.0
1,8692000000,8692000000.0
1,10335000000,10335000000.0
1,8359000000,8359000000.0
1,7653000000,7653000000.0
1,9904000000,9904000000.0
1,10240000000,10240000000.0
1,7549000000,7549000000.0
1,8519000000,8519000000.0
1,10255000000,10255000000.0
1,7587000000,7587000000.0
1,8491000000,8491000000.0
1,9460000000,9460000000.0
1,10748000000,10748000000.0
2,8687000000,8687000000.0
2,9995000000,9995000000.0
2,7388000000,7388000000.0
1,7753000000,7753000000.0
1,9076000000,9076000000.0
1,8564000000,8564000000.0
1,10395000000,10395000000.0
1,7811000000,7811000000.0
2,9240000000,9240000000.0
2,9904000000,9904000000.0
1,8034000000,8034000000.0
1,9479000000,9479000000.0
1,8952000000,8952000000.0
1,8213000000,8213000000.0
1,9629000000,9629000000.0
1,9153000000,9153000000.0
1,10543000000,10543000000.0
1,11093000000,11093000000.0
2,8395000000,8395000000.0
2,9924000000,9924000000.0
1,10217000000,10217000000.0
1,11020000000,11020000000.0
2,8372000000,8372000000.0
1,8343000000,8343000000.0
1,9518000000,9518000000.0
2,10515000000,10515000000.0
1,8557000000,8557000000.0
1,7716000000,7716000000.0
1,8613000000,8613000000.0
1,10560000000,10560000000.0
1,10162000000,10162000000.0
1,8149000000,8149000000.0
1,9141000000,9141000000.0
2,7914000000,7914000000.0
2,10874000000,10874000000.0
1,7919000000,7919000000.0
1,9668000000,9668000000.0
1,10293000000,10293000000.0
1,10642000000,10642000000.0
1,7467000000,7467000000.0
1,9856000000,9856000000.0
1,10989000000,10989000000.0
1,9922000000,9922000000.0
1,7542000000,7542000000.0
1,9377000000,9377000000.0
1,10832000000,10832000000.0
1,7992000000,7992000000.0
1,10554000000,10554000000.0
1,10671000000,10671000000.0
1,8682000000,8682000000.0
2,10115000000,10115000000.0
2,10559000000,10559000000.0
1,8519000000,8519000000.0
1,8321000000,8321000000.0
1,8878000000,8878000000.0
1,10544000000,10544000000.0
1,10156000000,10156000000.0
1,11053000000,11053000000.0
1,8738000000,8738000000.0
1,9538000000,9538000000.0
1,7584000000,7584000000.0
1,8295000000,8295000000.0
1,10559000000,10559000000.0
1,8479000000,8479000000.0
1,9659000000,9659000000.0
1,10839000000,10839000000.0
1,7823000000,7823000000.0
1,10097000000,10097000000.0
1,11217000000,11217000000.0
2,7861000000,7861000000.0
1,9991000000,9991000000.0
1,9240000000,9240000000.0
1,10934000000,10934000000.0
1,8476000000,8476000000.0
1,9158000000,9158000000.0
1,10287000000,10287000000.0
1,8877000000,8877000000.0
1,9878000000,9878000000.0
1,8295000000,8295000000.0
2,8550000000,8550000000.0
2,10023000000,10023000000.0
1,7734000000,7734000000.0
1,9183000000,9183000000.0
1,9636000000,9636000000.0
1,7654000000,7654000000.0
1,8294000000,8294000000.0
1,8908000000,8908000000.0
1,10706000000,10706000000.0
2,8605000000,8605000000.0
2,10355000000,10355000000.0
1,10825000000,10825000000.0
2,7265000000,7265000000.0
1,7680000000,7680000000.0
1,9132000000,9132000000.0
