key,value,eventTime,arrivalTime
1,1,9986000000,9986225000.0
1,1,9556000000,9556225000.0
1,1,7445000000,7445225000.0
1,1,8902000000,8902225000.0
1,1,10485000000,10485225000.0
1,1,8316000000,8316225000.0
1,1,10351000000,10351225000.0
1,1,9644000000,9644225000.0
2,2,7646000000,7646225000.0
2,2,7913000000,7913225000.0
2,2,8970000000,8970225000.0
2,2,11182000000,11182225000.0
2,2,9053000000,9053225000.0
2,2,10873000000,10873225000.0
1,1,7703000000,7703225000.0
1,1,9686000000,9686225000.0
1,1,11096000000,11096225000.0
1,1,8619000000,8619225000.0
2,2,10485000000,10485225000.0
1,1,7449000000,7449085000.0
1,1,9228000000,9228085000.0
1,1,10259000000,10259085000.0
2,2,7841000000,7841085000.0
2,2,9580000000,9580085000.0
2,2,7796000000,7796085000.0
2,2,8137000000,8137085000.0
1,1,8001000000,8001085000.0
1,1,10213000000,10213085000.0
1,1,8716000000,8716085000.0
2,2,8676000000,8676085000.0
1,1,7892000000,7892085000.0
1,1,9905000000,9905085000.0
1,1,8087000000,8087085000.0
1,1,9001000000,9001085000.0
1,1,9894000000,9894085000.0
2,2,8259000000,8259085000.0
2,2,10397000000,10397085000.0
1,1,7850000000,7850085000.0
1,1,7500000000,7500085000.0
1,1,8795000000,8795250000.0
1,1,10715000000,10715250000.0
2,2,8056000000,8056250000.0
2,2,9332000000,9332250000.0
1,1,8012000000,8012250000.0
1,1,7858000000,7858250000.0
1,1,9052000000,9052250000.0
1,1,8464000000,8464250000.0
1,1,9972000000,9972250000.0
1,1,7419000000,7419250000.0
1,1,7827000000,7827250000.0
1,1,8674000000,8674250000.0
1,1,9971000000,9971250000.0
1,1,10756000000,10756250000.0
1,1,9852000000,9852250000.0
1,1,8248000000,8248250000.0
1,1,8436000000,8436250000.0
1,1,10238000000,10238250000.0
1,1,8633000000,8633250000.0
1,1,10148000000,10148250000.0
1,1,11189000000,11189250000.0
2,2,7873000000,7873250000.0
2,2,10462000000,10462250000.0
1,1,9346000000,9346250000.0
1,1,7892000000,7892250000.0
2,2,7353000000,7353250000.0
2,2,8649000000,8649250000.0
1,1,8519000000,8519250000.0
1,1,9222000000,9222250000.0
1,1,10004000000,10004250000.0
1,1,7977000000,7977250000.0
1,1,9781000000,9781250000.0
1,1,7929000000,7929250000.0
1,1,8617000000,8617250000.0
1,1,9230000000,9230250000.0
1,1,10129000000,10129250000.0
1,1,8692000000,8692250000.0
1,1,10335000000,10335250000.0
1,1,8359000000,8359250000.0
1,1,7653000000,7653250000.0
1,1,9904000000,9904250000.0
1,1,10240000000,10240250000.0
1,1,7549000000,7549250000.0
1,1,8519000000,8519250000.0
1,1,10255000000,10255250000.0
1,1,7587000000,7587250000.0
1,1,8491000000,8491250000.0
1,1,9460000000,9460250000.0
1,1,10748000000,10748250000.0
2,2,8687000000,8687250000.0
2,2,9995000000,9995085000.0
2,2,7388000000,7388085000.0
1,1,7753000000,7753085000.0
1,1,9076000000,9076085000.0
1,1,8564000000,8564085000.0
1,1,10395000000,10395090000.0
1,1,7811000000,7811090000.0
2,2,9240000000,9240090000.0
2,2,9904000000,9904090000.0
1,1,8034000000,8034090000.0
1,1,9479000000,9479090000.0
1,1,8952000000,8952090000.0
1,1,8213000000,8213090000.0
1,1,9629000000,9629090000.0
1,1,9153000000,9153090000.0
1,1,10543000000,10543090000.0
1,1,11093000000,11093090000.0
2,2,8395000000,8395090000.0
2,2,9924000000,9924090000.0
1,1,10217000000,10217090000.0
1,1,11020000000,11020090000.0
2,2,8372000000,8372090000.0
1,1,8343000000,8343090000.0
1,1,9518000000,9518090000.0
2,2,10515000000,10515090000.0
1,1,8557000000,8557090000.0
1,1,7716000000,7716090000.0
1,1,8613000000,8613090000.0
1,1,10560000000,10560090000.0
1,1,10162000000,10162090000.0
1,1,8149000000,8149090000.0
1,1,9141000000,9141090000.0
2,2,7914000000,7914090000.0
2,2,10874000000,10874090000.0
1,1,7919000000,7919090000.0
1,1,9668000000,9668090000.0
1,1,10293000000,10293090000.0
1,1,10642000000,10642090000.0
1,1,7467000000,7467090000.0
1,1,9856000000,9856090000.0
1,1,10989000000,10989090000.0
1,1,9922000000,9922090000.0
1,1,7542000000,7542090000.0
1,1,9377000000,9377090000.0
1,1,10832000000,10832090000.0
1,1,7992000000,7992090000.0
1,1,10554000000,10554090000.0
1,1,10671000000,10671090000.0
1,1,8682000000,8682090000.0
2,2,10115000000,10115090000.0
2,2,10559000000,10559090000.0
1,1,8519000000,8519090000.0
1,1,8321000000,8321090000.0
1,1,8878000000,8878090000.0
1,1,10544000000,10544090000.0
1,1,10156000000,10156090000.0
1,1,11053000000,11053090000.0
1,1,8738000000,8738090000.0
1,1,9538000000,9538090000.0
1,1,7584000000,7584090000.0
1,1,8295000000,8295090000.0
1,1,10559000000,10559090000.0
1,1,8479000000,8479090000.0
1,1,9659000000,9659090000.0
1,1,10839000000,10839090000.0
1,1,7823000000,7823095000.0
1,1,10097000000,10097095000.0
1,1,11217000000,11217095000.0
2,2,7861000000,7861095000.0
1,1,9991000000,9991095000.0
1,1,9240000000,9240095000.0
1,1,10934000000,10934095000.0
1,1,8476000000,8476095000.0
1,1,9158000000,9158095000.0
1,1,10287000000,10287095000.0
1,1,8877000000,8877095000.0
1,1,9878000000,9878095000.0
1,1,8295000000,8295095000.0
2,2,8550000000,8550095000.0
2,2,10023000000,10023095000.0
1,1,7734000000,7734095000.0
1,1,9183000000,9183095000.0
1,1,9636000000,9636095000.0
1,1,7654000000,7654095000.0
1,1,8294000000,8294095000.0
1,1,8908000000,8908095000.0
1,1,10706000000,10706095000.0
2,2,8605000000,8605095000.0
2,2,10355000000,10355095000.0
1,1,10825000000,10825095000.0
2,2,7265000000,7265095000.0
1,1,7680000000,7680095000.0
1,1,9132000000,9132095000.0
1,1,9169000000,9169095000.0
1,1,8281000000,8281095000.0
1,1,10324000000,10324095000.0
2,2,8555000000,8555095000.0
1,1,9038000000,9038095000.0
1,1,9968000000,9968095000.0
1,1,11021000000,11021095000.0
1,1,8132000000,8132095000.0
2,2,9797000000,9797095000.0
2,2,7528000000,7528095000.0
2,2,9060000000,9060095000.0
2,2,10963000000,10963095000.0
2,2,8106000000,8106095000.0
2,2,9446000000,9446095000.0
2,2,10410000000,10410095000.0
2,2,9030000000,9030095000.0
2,2,8785000000,8785095000.0
2,2,10578000000,10578090000.0
1,1,9085000000,9085090000.0
1,1,10595000000,10595090000.0
1,1,7756000000,7756090000.0
1,1,8048000000,8048090000.0
1,1,8957000000,8957090000.0
1,1,8794000000,8794090000.0
1,1,9105000000,9105090000.0
1,1,10603000000,10603090000.0
1,1,9640000000,9640090000.0
1,1,9972000000,9972090000.0
1,1,9379000000,9379090000.0
1,1,10796000000,10796090000.0
2,2,8587000000,8587090000.0
2,2,10159000000,10159090000.0
1,1,7701000000,7701090000.0
1,1,10280000000,10280090000.0
1,1,9580000000,9580090000.0
1,1,10478000000,10478090000.0
1,1,7810000000,7810090000.0
1,1,9498000000,9498090000.0
1,1,10322000000,10322090000.0
1,1,8546000000,8546090000.0
1,1,10198000000,10198090000.0
1,1,7698000000,7698090000.0
1,1,8896000000,8896090000.0
1,1,10363000000,10363090000.0
1,1,9720000000,9720090000.0
1,1,7382000000,7382090000.0
2,2,7592000000,7592090000.0
2,2,9466000000,9466090000.0
1,1,8117000000,8117090000.0
1,1,8626000000,8626090000.0
1,1,9130000000,9130090000.0
1,1,10200000000,10200090000.0
1,1,10419000000,10419090000.0
1,1,8640000000,8640090000.0
1,1,9856000000,9856090000.0
1,1,10355000000,10355090000.0
1,1,8858000000,8858090000.0
1,1,10186000000,10186090000.0
1,1,8014000000,8014090000.0
1,1,8498000000,8498090000.0
1,1,8887000000,8887090000.0
1,1,9541000000,9541090000.0
1,1,7802000000,7802090000.0
1,1,8973000000,8973090000.0
1,1,7846000000,7846090000.0
1,1,8488000000,8488090000.0
1,1,9185000000,9185090000.0
1,1,7784000000,7784090000.0
1,1,8785000000,8785090000.0
1,1,10023000000,10023090000.0
1,1,8937000000,8937090000.0
1,1,8874000000,8874090000.0
1,1,8104000000,8104085000.0
1,1,9087000000,9087085000.0
1,1,9557000000,9557085000.0
1,1,10952000000,10952085000.0
2,2,9979000000,9979085000.0
2,2,10313000000,10313085000.0
1,1,10169000000,10169085000.0
2,2,8430000000,8430085000.0
2,2,9454000000,9454085000.0
2,2,10126000000,10126085000.0
1,1,9911000000,9911085000.0
1,1,11023000000,11023085000.0
2,2,8918000000,8918085000.0
2,2,10214000000,10214085000.0
1,1,9481000000,9481085000.0
2,2,7729000000,7729085000.0
2,2,8677000000,8677085000.0
1,1,8786000000,8786085000.0
1,1,9357000000,9357085000.0
1,1,10404000000,10404085000.0
1,1,8299000000,8299085000.0
1,1,8972000000,8972085000.0
1,1,7881000000,7881085000.0
1,1,8613000000,8613085000.0
1,1,8117000000,8117085000.0
1,1,10603000000,10603085000.0
1,1,8622000000,8622085000.0
1,1,9170000000,9170085000.0
2,2,8077000000,8077085000.0
2,2,10536000000,10536085000.0
2,2,8094000000,8094085000.0
2,2,9853000000,9853085000.0
2,2,10438000000,10438085000.0
1,1,9099000000,9099085000.0
2,2,11206000000,11206085000.0
1,1,8905000000,8905085000.0
1,1,10501000000,10501085000.0
1,1,11257000000,11257085000.0
1,1,7856000000,7856085000.0
1,1,8854000000,8854085000.0
1,1,9554000000,9554085000.0
1,1,8148000000,8148085000.0
1,1,9029000000,9029085000.0
2,2,8167000000,8167085000.0
2,2,10585000000,10585085000.0
1,1,7817000000,7817085000.0
1,1,8813000000,8813085000.0
1,1,9649000000,9649085000.0
1,1,8338000000,8338085000.0
1,1,9202000000,9202085000.0
1,1,8902000000,8902085000.0
1,1,10792000000,10792085000.0
1,1,8358000000,8358085000.0
1,1,10215000000,10215085000.0
1,1,7873000000,7873085000.0
1,1,9443000000,9443085000.0
1,1,10697000000,10697085000.0
1,1,8289000000,8289085000.0
1,1,9612000000,9612085000.0
1,1,10582000000,10582085000.0
2,2,10002000000,10002200000.0
2,2,9186000000,9186200000.0
1,1,10191000000,10191200000.0
1,1,10908000000,10908200000.0
1,1,8520000000,8520200000.0
1,1,8783000000,8783225000.0
1,1,10479000000,10479225000.0
1,1,8703000000,8703225000.0
2,2,9142000000,9142225000.0
2,2,10151000000,10151225000.0
1,1,9778000000,9778225000.0
1,1,7583000000,7583225000.0
1,1,9265000000,9265225000.0
2,2,8486000000,8486225000.0
2,2,10014000000,10014225000.0
1,1,8704000000,8704225000.0
1,1,7417000000,7417225000.0
1,1,8916000000,8916225000.0
1,1,9975000000,9975225000.0
1,1,10989000000,10989225000.0
1,1,10266000000,10266225000.0
2,2,8286000000,8286225000.0
1,1,10419000000,10419225000.0
1,1,8681000000,8681225000.0
1,1,9622000000,9622225000.0
1,1,8864000000,8864225000.0
1,1,9572000000,9572225000.0
1,1,9417000000,9417225000.0
1,1,10141000000,10141225000.0
1,1,8469000000,8469225000.0
1,1,9319000000,9319225000.0
1,1,10294000000,10294225000.0
1,1,8436000000,8436225000.0
1,1,9821000000,9821225000.0
1,1,8671000000,8671225000.0
1,1,9160000000,9160225000.0
1,1,9810000000,9810225000.0
1,1,8123000000,8123225000.0
1,1,10047000000,10047225000.0
1,1,8746000000,8746225000.0
1,1,10867000000,10867225000.0
1,1,9512000000,9512225000.0
1,1,8405000000,8405225000.0
2,2,10028000000,10028225000.0
1,1,8184000000,8184225000.0
1,1,9156000000,9156225000.0
1,1,10557000000,10557225000.0
1,1,7881000000,7881225000.0
1,1,10100000000,10100225000.0
1,1,10173000000,10173225000.0
2,2,8671000000,8671225000.0
2,2,9459000000,9459225000.0
2,2,10249000000,10249225000.0
1,1,8306000000,8306225000.0
1,1,7517000000,7517225000.0
1,1,8778000000,8778225000.0
1,1,10513000000,10513225000.0
1,1,7938000000,7938225000.0
1,1,10109000000,10109225000.0
1,1,8491000000,8491225000.0
1,1,9489000000,9489225000.0
2,2,8123000000,8123225000.0
2,2,9203000000,9203085000.0
1,1,8444000000,8444085000.0
1,1,10478000000,10478085000.0
2,2,8987000000,8987085000.0
1,1,7989000000,7989085000.0
1,1,8505000000,8505085000.0
1,1,8943000000,8943085000.0
1,1,10324000000,10324085000.0
1,1,7417000000,7417085000.0
1,1,8563000000,8563085000.0
1,1,9398000000,9398085000.0
2,2,9218000000,9218085000.0
1,1,8267000000,8267085000.0
2,2,10925000000,10925085000.0
1,1,8400000000,8400085000.0
1,1,7928000000,7928085000.0
1,1,8720000000,8720085000.0
1,1,9178000000,9178085000.0
1,1,7944000000,7944085000.0
1,1,9461000000,9461085000.0
1,1,10457000000,10457085000.0
1,1,7805000000,7805085000.0
1,1,9808000000,9808085000.0
1,1,8087000000,8087085000.0
1,1,10687000000,10687085000.0
1,1,8510000000,8510085000.0
1,1,8821000000,8821085000.0
1,1,7954000000,7954085000.0
1,1,8791000000,8791085000.0
1,1,9215000000,9215085000.0
1,1,9830000000,9830085000.0
2,2,8276000000,8276085000.0
2,2,7479000000,7479085000.0
2,2,8173000000,8173085000.0
2,2,9028000000,9028085000.0
1,1,8589000000,8589085000.0
1,1,9328000000,9328085000.0
1,1,8143000000,8143085000.0
2,2,10061000000,10061085000.0
1,1,8833000000,8833085000.0
1,1,9211000000,9211085000.0
1,1,10646000000,10646085000.0
1,1,8436000000,8436085000.0
1,1,9612000000,9612085000.0
1,1,10608000000,10608085000.0
1,1,9559000000,9559085000.0
1,1,10353000000,10353085000.0
1,1,9225000000,9225085000.0
1,1,8387000000,8387085000.0
1,1,10348000000,10348085000.0
2,2,7467000000,7467085000.0
2,2,10129000000,10129085000.0
1,1,9767000000,9767085000.0
1,1,8619000000,8619085000.0
1,1,10422000000,10422240000.0
2,2,7913000000,7913240000.0
2,2,10308000000,10308240000.0
2,2,11056000000,11056240000.0
1,1,8345000000,8345240000.0
1,1,8783000000,8783240000.0
2,2,8029000000,8029240000.0
2,2,9221000000,9221240000.0
2,2,10317000000,10317240000.0
1,1,10339000000,10339240000.0
2,2,8683000000,8683240000.0
1,1,8111000000,8111240000.0
1,1,10257000000,10257240000.0
1,1,11092000000,11092240000.0
1,1,9364000000,9364240000.0
1,1,10071000000,10071240000.0
1,1,7528000000,7528240000.0
1,1,7641000000,7641240000.0
1,1,9915000000,9915240000.0
1,1,8707000000,8707240000.0
1,1,8947000000,8947240000.0
